area_id,name,population
1,Rogers Park,"55,628"
2,West Ridge,"77,122"
3,Uptown,"57,182"
4,Lincoln Square,"40,494"
5,North Center,"35,114"
6,Lake View,"103,050"
7,Lincoln Park,"70,492"
8,Near North Side,"105,481"
9,Edison Park,"11,525"
10,Norwood Park,"38,303"
11,Jefferson Park,"26,216"
12,Forest Glen,"19,596"
13,North Park,"17,559"
14,Albany Park,"48,396"
15,Portage Park,"63,020"
16,Irving Park,"51,940"
17,Dunning,"43,147"
18,Montclare,"14,401"
19,Belmont Cragin,"78,116"
20,Hermosa,"24,062"
21,Avondale,"36,257"
22,Logan Square,"71,665"
23,Humboldt Park,"54,165"
24,West Town,"87,781"
25,Austin,"96,557"
26,West Garfield Park,"17,433"
27,East Garfield Park,"19,992"
28,Near West Side,"67,881"
29,North Lawndale,"34,794"
30,South Lawndale,"71,399"
31,Lower West Side,"33,751"
32,(The) Loop[11],"42,298"
33,Near South Side,"28,795"
34,Armour Square,"13,890"
35,Douglas,"20,291"
36,Oakland,"6,799"
37,Fuller Park,"2,567"
38,Grand Boulevard,"24,589"
39,Kenwood,"19,116"
40,Washington Park,"12,707"
41,Hyde Park,"29,456"
42,Woodlawn,"24,425"
43,South Shore,"53,971"
44,Chatham,"31,710"
45,Avalon Park,"9,458"
46,South Chicago,"27,300"
47,Burnside,"2,527"
48,Calumet Heights,"13,088"
49,Roseland,"38,816"
50,Pullman,"6,820"
51,South Deering,"14,105"
52,East Side,"21,724"
53,West Pullman,"26,104"
54,Riverdale,"7,262"
55,Hegewisch,"10,027"
56,Garfield Ridge,"35,439"
57,Archer Heights,"14,196"
58,Brighton Park,"45,053"
59,McKinley Park,"15,923"
60,Bridgeport,"33,702"
61,New City,"43,628"
62,West Elsdon,"18,394"
63,Gage Park,"39,540"
64,Clearing,"24,473"
65,West Lawn,"33,662"
66,Chicago Lawn,"55,931"
67,West Englewood,"29,647"
68,Englewood,"24,369"
69,Greater Grand Crossing,"31,471"
70,Ashburn,"41,098"
71,Auburn Gresham,"44,878"
72,Beverly,"20,027"
73,Washington Heights,"25,065"
74,Mount Greenwood,"18,628"
75,Morgan Park,"21,186"
76,O'Hare,"13,418"
77,Edgewater,"56,296"
Total,Chicago[12],"2,746,388"
